,,,,,,,,,,,,,,,,
,"AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","AF15"
"PC7",-0,-0,"TIM3_
CH2","TIM8_CH2","I2CFMP1
_SDA","SPI2_SCK/
I2S2_CK","I2S3_MCK","DFSDM2_
CKIN6","USART6_
RX",-0,"DFSDM1_
DATIN3",-0,"SDIO_D7",-0,-0,"EVENT
OUT"
"PC8",-0,-0,"TIM3_
CH3","TIM8_CH3",-0,-0,-0,"DFSDM2_
CKIN3","USART6_
CK","QUADSPI_
BK1_IO2",-0,-0,"SDIO_D0",-0,-0,"EVENT
OUT"
"PC9","MCO_2",-0,"TIM3_
CH4","TIM8_CH4","I2C3_
SDA","I2S2_CKIN",-0,"DFSDM2_
DATIN3",-0,"QUADSPI_
BK1_IO0",-0,-0,"SDIO_D1",-0,-0,"EVENT
OUT"
"PC10",-0,-0,-0,"DFSDM2_
CKIN5",-0,-0,"SPI3_SCK/
I2S3_CK","USART3_
TX",-0,"QUADSPI_
BK1_IO1",-0,-0,"SDIO_D2",-0,-0,"EVENT
OUT"
"PC11",-0,-0,-0,"DFSDM2_
DATIN5",-0,"I2S3ext_SD","SPI3_MISO","USART3_
RX","UART4_
RX","QUADSPI_
BK2_NCS","FSMC_D2/
FSMC_DA2",-0,"SDIO_D3",-0,-0,"EVENT
OUT"
"PC12",-0,-0,-0,-0,-0,-0,"SPI3_MOSI/
I2S3_SD","USART3_
CK","UART5_
TX",-0,"FSMC_D3/F
SMC_DA3",-0,"SDIO_CK",-0,-0,"EVENT
OUT"
"PC13",-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,"EVENT
OUT"
"PC14",-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,"EVENT
OUT"
"PC15",-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,"EVENT
OUT",
"PD0",-0,-0,-0,"DFSDM2_
CKIN6",-0,-0,-0,-0,-0,"CAN1_RX",-0,"UART4_
RX","FSMC_D2/
FSMC_DA2",-0,-0,"EVENT
OUT"
"PD1",-0,-0,-0,"DFSDM2_
DATIN6",-0,-0,-0,-0,-0,"CAN1_TX",-0,"UART4_
TX","FSMC_D3/
FSMC_DA3",-0,-0,"EVENT
OUT"
"PD2",-0,-0,"TIM3_
ETR","DFSDM2_
CKOUT",-0,-0,-0,-0,"UART5_
RX",-0,"FSMC_
NWE",-0,"SDIO_CMD",-0,-0,"EVENT
OUT"
"PD3","TRACE
D1",-0,-0,-0,-0,"SPI2_SCK/
I2S2_CK","DFSDM1_
DATIN0","USART2_
CTS",-0,"QUADSPI_
CLK",-0,-0,"FSMC_CLK",-0,-0,"EVENT
OUT"
"PD4",-0,-0,-0,-0,-0,-0,"DFSDM1_
CKIN0","USART2_
RTS",-0,-0,-0,-0,"FSMC_
NOE",-0,-0,"EVENT
OUT"
"PD5",-0,-0,-0,"DFSDM2_
CKOUT",-0,-0,-0,"USART2_
TX",-0,-0,-0,-0,"FSMC_
NWE",-0,-0,"EVENT
OUT"
"PD6",-0,-0,-0,-0,-0,"SPI3_MOSI/
I2S3_SD","DFSDM1_
DATIN1","USART2_
RX",-0,-0,-0,-0,"FSMC_
NWAIT",-0,-0,"EVENT
OUT"
"PD7",-0,-0,-0,-0,-0,-0,"DFSDM1_
CKIN1","USART2_
CK",-0,-0,-0,-0,"FSMC_NE1",-0,-0,"EVENT
OUT"
"PD8",-0,-0,-0,-0,-0,-0,-0,"USART3_
TX",-0,-0,-0,-0,"FSMC_D13/F
SMC_DA13",-0,-0,"EVENT
OUT"
"PD9",-0,-0,-0,-0,-0,-0,-0,"USART3_
RX",-0,-0,-0,-0,"FSMC_D14/F
SMC_DA14",-0,-0,"EVENT
OUT"
"PD10",-0,-0,-0,-0,-0,-0,-0,"USART3_
CK","UART4_
TX",-0,-0,-0,"FSMC_D15/F
SMC_DA15",-0,-0,"EVENT
OUT"
"PD11",-0,-0,-0,"DFSDM2_
DATIN2","I2CFMP1
_SMBA",-0,-0,"USART3_
CTS",-0,"QUADSPI_
BK1_IO0",-0,-0,"FSMC_A16",-0,-0,"EVENT
OUT"
"PD12",-0,-0,"TIM4_
CH1","DFSDM2_
CKIN2","I2CFMP1
_SCL",-0,-0,"USART3_
RTS",-0,"QUADSPI_
BK1_IO1",-0,-0,"FSMC_A17",-0,-0,"EVENT
OUT"
"PD13",-0,-0,"TIM4_
CH2",-0,"I2CFMP1
_SDA",-0,-0,-0,-0,"QUADSPI_
BK1_IO3",-0,-0,"FSMC_A18",-0,-0,"EVENT
OUT"
"PD14",-0,-0,"TIM4_
CH3",-0,"I2CFMP1
_SCL",-0,-0,-0,-0,-0,"DFSDM2_
CKIN0","UART9_
RX","FSMC_D0/
FSMC_DA0",-0,-0,"EVENT
OUT"
"PD15",-0,"TIM4_
CH4",-0,"I2CFMP1
_SDA",-0,-0,-0,-0,-0,"DFSDM2_
DATIN0","UART9_
TX","FSMC_D1/
FSMC_DA1",-0,-0,"EVENT
OUT",
"PE0",-0,-0,"TIM4_
ETR","DFSDM2_
CKIN4",-0,-0,-0,-0,"UART8_
Rx",-0,-0,-0,"FSMC_
NBL0",-0,-0,"EVENT
OUT"
"PE1",-0,-0,-0,"DFSDM2_
DATIN4",-0,-0,-0,-0,"UART8_
Tx",-0,-0,-0,"FSMC_
NBL1",-0,-0,"EVENT
OUT"
"PE2","TRACE
CLK",-0,-0,-0,-0,"SPI4_SCK
/I2S4_CK","SPI5_SCK/
I2S5_CK","SAI1_
MCLK_A",-0,"QUADSPI_
BK1_IO2",-0,"UART10
_RX","FSMC_A23",-0,-0,"EVENT
OUT"
"PE3","TRACE
D0",-0,-0,-0,-0,-0,-0,"SAI1_SD_B",-0,-0,-0,"UART10
_TX","FSMC_A19",-0,-0,"EVENT
OUT"
"PE4","TRACE
D1",-0,-0,-0,-0,"SPI4_NSS/
I2S4_WS","SPI5_NSS/
I2S5_WS","SAI1_SD_A","DFSDM1_
DATIN3",-0,-0,-0,"FSMC_A20",-0,-0,"EVENT
OUT"
"PE5","TRACE
D2",-0,-0,"TIM9_CH1",-0,"SPI4_MISO","SPI5_MISO","SAI1_SCK_
A","DFSDM1_
CKIN3",-0,-0,-0,"FSMC_A21",-0,-0,"EVENT
OUT"
"PE6","TRACE
D3",-0,-0,"TIM9_CH2",-0,"SPI4_MOSI/I
2S4_SD","SPI5_MOSI/
I2S5_SD","SAI1_FS_A",-0,-0,-0,-0,"FSMC_A22",-0,-0,"EVENT
OUT"
"PE7",-0,"TIM1_ETR",-0,-0,-0,-0,"DFSDM1_
DATIN2",-0,"UART7_
Rx",-0,"QUADSPI_
BK2_IO0",-0,"FSMC_D4/
FSMC_DA4",-0,-0,"EVENT
OUT"
"PE8",-0,"TIM1_
CH1N",-0,-0,-0,-0,"DFSDM1_
CKIN2",-0,"UART7_
Tx",-0,"QUADSPI_
BK2_IO1",-0,"FSMC_D5/
FSMC_DA5",-0,-0,"EVENT
OUT"
"PE9",-0,"TIM1_CH1",-0,-0,-0,-0,"DFSDM1_
CKOUT",-0,-0,-0,"QUADSPI_
BK2_IO2",-0,"FSMC_D6/
FSMC_DA6",-0,-0,"EVENT
OUT"
"PE10",-0,"TIM1_
CH2N",-0,"DFSDM2_
DATIN0",-0,-0,-0,-0,-0,-0,"QUADSPI_
BK2_IO3",-0,"FSMC_D7/
FSMC_DA7",-0,-0,"EVENT
OUT"
"PE11",-0,"TIM1_
CH2",-0,"DFSDM2_
CKIN0",-0,"SPI4_NSS/
I2S4_WS","SPI5_NSS/
I2S5_WS",-0,-0,-0,-0,-0,"FSMC_D8/
FSMC_DA8",-0,-0,"EVENT
OUT"
"PE12",-0,"TIM1_
CH3N",-0,"DFSDM2_
DATIN7",-0,"SPI4_SCK/
I2S4_CK","SPI5_SCK/
I2S5_CK",-0,-0,-0,-0,-0,"FSMC_D9/
FSMC_DA9",-0,-0,"EVENT
OUT"
"PE13",-0,"TIM1_
CH3",-0,"DFSDM2_
CKIN7",-0,"SPI4_MISO","SPI5_MISO",-0,-0,-0,-0,-0,"FSMC_D10/
FSMC_DA10",-0,-0,"EVENT
OUT"
"PE14",-0,"TIM1_
CH4",-0,-0,-0,"SPI4_MOSI/I
2S4_SD","SPI5_MOSI/
I2S5_SD",-0,-0,-0,"DFSDM2_
DATIN1",-0,"FSMC_D11/
FSMC_DA11",-0,-0,"EVENT
OUT"
"PE15","TIM1_
BKIN",-0,-0,-0,-0,-0,-0,-0,-0,"DFSDM2_
CKIN1",-0,"FSMC_D12/F
SMC_DA12",-0,-0,"EVENT
OUT",
"PF0",-0,-0,-0,-0,"I2C2_
SDA",-0,-0,-0,-0,-0,-0,-0,"FSMC_A0",-0,-0,"EVENT
OUT"
"PF1",-0,-0,-0,-0,"I2C2_
SCL",-0,-0,-0,-0,-0,-0,-0,"FSMC_A1",-0,-0,"EVENT
OUT"
"PF2",-0,-0,-0,-0,"I2C2_
SMBA",-0,-0,-0,-0,-0,-0,-0,"FSMC_A2",-0,-0,"EVENT
OUT"
"PF3",-0,-0,"TIM5_
CH1",-0,-0,-0,-0,-0,-0,-0,-0,-0,"FSMC_A3",-0,-0,"EVENT
OUT"
"PF4",-0,-0,"TIM5_
CH2",-0,-0,-0,-0,-0,-0,-0,-0,-0,"FSMC_A4",-0,-0,"EVENT
OUT"
"PF5",-0,-0,"TIM5_
CH3",-0,-0,-0,-0,-0,-0,-0,-0,-0,"FSMC_A5",-0,-0,"EVENT
OUT"
"PF6","TRACE
D0",-0,-0,"TIM10_CH1",-0,-0,-0,"SAI1_SD_B","UART7_
Rx","QUADSPI_
BK1_IO3",-0,-0,-0,-0,-0,"EVENT
OUT"
"PF7","TRACE
D1",-0,-0,"TIM11_CH1",-0,-0,-0,"SAI1_
MCLK_B","UART7_
Tx","QUADSPI_
BK1_IO2",-0,-0,-0,-0,-0,"EVENT
OUT"
"PF8",-0,-0,-0,-0,-0,-0,-0,"SAI1_SCK_
B","UART8_RX","TIM13_CH1","QUADSPI_B
K1_IO0",-0,-0,-0,-0,"EVENT
OUT"
"PF9",-0,-0,-0,-0,-0,-0,-0,"SAI1_FS_B","UART8_
TX","TIM14_CH1","QUADSPI_B
K1_IO1",-0,-0,-0,-0,"EVENT
OUT"
"PF10",-0,"TIM1_ETR","TIM5_
CH4",-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,"EVENT
OUT"
"PF11",-0,-0,-0,"TIM8_ETR",-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,"EVENT
OUT"
"PF12",-0,-0,-0,"TIM8_BKIN",-0,-0,-0,-0,-0,-0,-0,-0,"FSMC_A6",-0,-0,"EVENT
OUT"
"PF13",-0,-0,-0,-0,"I2CFMP1
_SMBA",-0,-0,-0,-0,-0,-0,-0,"FSMC_A7",-0,-0,"EVENT
OUT"
"PF14",-0,-0,-0,-0,"I2CFMP1
_SCL",-0,-0,-0,-0,-0,-0,-0,"FSMC_A8",-0,-0,"EVENT
OUT"
"PF15",-0,-0,-0,"I2CFMP1
_SDA",-0,-0,-0,-0,-0,-0,-0,"FSMC_A9",-0,-0,"EVENT
OUT",
